ORDER_ID,CUSTOMER_ID,ORDER_DATE,SHIP_DATE,FREIGHT
10248,3643500,4-Jul-05,16-Jul-05,32.38
11078,3082800,4-Jul-05,16-Jul-05,32.38
10249,1045,5-Jul-05,10-Jul-05,11.61
11079,3265500,5-Jul-05,10-Jul-05,11.61
10250,2681700,8-Jul-05,12-Jul-05,65.83
10251,3618300,8-Jul-05,15-Jul-05,41.34
11080,3221400,8-Jul-05,12-Jul-05,65.83
11081,2977800,8-Jul-05,15-Jul-05,41.34
10252,1510000,9-Jul-05,11-Jul-05,51.3
11082,3171000,9-Jul-05,11-Jul-05,51.3
10253,2797200,10-Jul-05,16-Jul-05,58.17
11083,2757300,10-Jul-05,16-Jul-05,58.17
10254,3290700,11-Jul-05,23-Jul-05,22.98
11084,2780400,11-Jul-05,23-Jul-05,22.98
11514,3366300,11-Jul-05,23-Jul-05,22.98
10255,2086140,12-Jul-05,15-Jul-05,148.33
11085,70000,12-Jul-05,15-Jul-05,148.33
10256,955500,15-Jul-05,17-Jul-05,13.97
11086,3242400,15-Jul-05,17-Jul-05,13.97
10257,3248700,16-Jul-05,22-Jul-05,81.91
11087,3458700,16-Jul-05,22-Jul-05,81.91
10258,3372600,17-Jul-05,23-Jul-05,140.51
11088,3244500,17-Jul-05,23-Jul-05,140.51
10259,2694300,18-Jul-05,25-Jul-05,3.25
11089,3607800,18-Jul-05,25-Jul-05,3.25
11519,1035,18-Jul-05,25-Jul-05,3.25
10260,2763600,19-Jul-05,29-Jul-05,55.09
10261,3647700,19-Jul-05,30-Jul-05,3.05
11090,3343200,19-Jul-05,29-Jul-05,55.09
11091,3198300,19-Jul-05,30-Jul-05,3.05
10262,6058500,22-Jul-05,25-Jul-05,48.29
11092,1068,22-Jul-05,25-Jul-05,48.29
10263,2895900,23-Jul-05,31-Jul-05,146.06
11093,1390000,23-Jul-05,31-Jul-05,146.06
10264,3628800,24-Jul-05,23-Aug-05,3.67
11094,3584700,24-Jul-05,23-Aug-05,3.67
10265,3210900,25-Jul-05,12-Aug-05,55.28
11095,3435600,25-Jul-05,12-Aug-05,55.28
11525,3074400,25-Jul-05,12-Aug-05,55.28
10266,200000,26-Jul-05,31-Jul-05,25.73
11096,1550000,26-Jul-05,31-Jul-05,25.73
10267,2887500,29-Jul-05,6-Aug-05,208.58
11097,990000,29-Jul-05,6-Aug-05,208.58
10268,2860200,30-Jul-05,2-Aug-05,66.29
11098,290000,30-Jul-05,2-Aug-05,66.29
10269,3439800,31-Jul-05,9-Aug-05,4.56
11099,2797200,31-Jul-05,9-Aug-05,4.56
10270,3034500,1-Aug-05,2-Aug-05,136.54
10271,9290400,1-Aug-05,30-Aug-05,4.54
11100,3219300,1-Aug-05,2-Aug-05,136.54
11101,350000,1-Aug-05,30-Aug-05,4.54
10272,3198300,2-Aug-05,6-Aug-05,98.03
11102,1500000,2-Aug-05,6-Aug-05,98.03
10273,1078,5-Aug-05,12-Aug-05,76.07
11103,3465000,5-Aug-05,12-Aug-05,76.07
10274,2706900,6-Aug-05,16-Aug-05,6.01
11104,3213000,6-Aug-05,16-Aug-05,6.01
10275,1066,7-Aug-05,9-Aug-05,26.93
11105,6058500,7-Aug-05,9-Aug-05,26.93
10276,1150000,8-Aug-05,14-Aug-05,13.84
11106,2977800,8-Aug-05,14-Aug-05,13.84
10277,2671200,9-Aug-05,13-Aug-05,125.77
11107,90000,9-Aug-05,13-Aug-05,125.77
10278,880000,12-Aug-05,16-Aug-05,92.69
11108,1370000,12-Aug-05,16-Aug-05,92.69
11538,1101,12-Aug-05,16-Aug-05,92.69
10279,2914800,13-Aug-05,16-Aug-05,25.83
11109,1088,13-Aug-05,16-Aug-05,25.83
10280,1020000,14-Aug-05,12-Sep-05,8.98
10281,2690100,14-Aug-05,21-Aug-05,2.94
11110,3055500,14-Aug-05,12-Sep-05,8.98
11111,3063900,14-Aug-05,21-Aug-05,2.94
11540,2650200,14-Aug-05,12-Sep-05,8.98
10282,3007200,15-Aug-05,21-Aug-05,12.69
11112,3473400,15-Aug-05,21-Aug-05,12.69
10283,390000,16-Aug-05,23-Aug-05,84.81
11113,940000,16-Aug-05,23-Aug-05,84.81
10284,3559500,19-Aug-05,27-Aug-05,76.56
11114,1061,19-Aug-05,27-Aug-05,76.56
